method,category,episodes,envs,task_success_rate,invalid_browser_action_rate,repeated_action_rate,avg_turns
fixed_actor,clicking,24,8,0.5,0.0,0.5,3.0
fixed_actor,forms,18,6,0.2222222222222222,0.16666666666666666,0.6111111111111112,3.888888888888889
fixed_actor,menu_navigation,18,6,0.16666666666666666,0.0,0.8333333333333334,4.333333333333333
fixed_actor,reading,9,3,0.0,0.0,0.6666666666666666,3.6666666666666665
fixed_actor,selection,27,9,0.0,0.0,0.8888888888888888,5.0
fixed_actor,simulated_app,24,8,0.0,0.0,1.0,5.0
fixed_actor,text_entry,30,10,0.36666666666666664,0.0,0.5,3.3
textgrad_rl,clicking,24,8,0.5,0.0,0.5,3.0
textgrad_rl,forms,18,6,0.2222222222222222,0.16666666666666666,0.6111111111111112,3.888888888888889
textgrad_rl,menu_navigation,18,6,0.16666666666666666,0.0,0.8333333333333334,4.333333333333333
textgrad_rl,reading,9,3,0.0,0.0,0.6666666666666666,3.6666666666666665
textgrad_rl,selection,27,9,0.4074074074074074,0.0,0.48148148148148145,3.962962962962963
textgrad_rl,simulated_app,24,8,0.0,0.0,1.0,5.0
textgrad_rl,text_entry,30,10,0.36666666666666664,0.0,0.5,3.3
textgrad_rl_ppo,clicking,24,8,0.5,0.0,0.5,3.0
textgrad_rl_ppo,forms,18,6,0.2222222222222222,0.16666666666666666,0.6111111111111112,3.888888888888889
textgrad_rl_ppo,menu_navigation,18,6,0.16666666666666666,0.0,0.8333333333333334,4.333333333333333
textgrad_rl_ppo,reading,9,3,0.0,0.0,0.6666666666666666,3.6666666666666665
textgrad_rl_ppo,selection,27,9,0.0,0.0,0.8888888888888888,5.0
textgrad_rl_ppo,simulated_app,24,8,0.0,0.0,1.0,5.0
textgrad_rl_ppo,text_entry,30,10,0.36666666666666664,0.0,0.5,3.3
