variant,env_id,episodes,average_reward,success_rate,invalid_move_rate,average_turns
no_textgrad,Bandit-v0,10,0.1794159629308608,0.0,0.0,21.0
no_textgrad,Blackjack-v0,10,0.27999999999999997,0.0,0.0,5.0
no_textgrad,ConnectFour-v0,20,0.0,0.5,0.0,19.0
no_textgrad,FrozenLake-v0,10,0.4666666666666667,0.0,0.5,3.8
no_textgrad,GuessTheNumber-v0,10,0.9736842105263157,0.8,0.0,7.2
no_textgrad,LightsOut-v0,10,-0.20055555555555554,0.0,0.0,20.0
no_textgrad,Mastermind-v0,10,0.4125,0.0,1.0,5.0
no_textgrad,Nim-v0,20,0.0,0.5,0.0,12.0
no_textgrad,ReverseTicTacToe-v0,20,0.0,0.0,0.0,9.0
no_textgrad,TowerOfHanoi-v0,10,0.0,0.0,0.0,15.0
textgrad_rl,Bandit-v0,10,0.1794159629308608,0.0,0.0,21.0
textgrad_rl,Blackjack-v0,10,0.06000000000000001,0.0,0.0,8.5
textgrad_rl,ConnectFour-v0,20,0.0,0.5,0.0,21.0
textgrad_rl,FrozenLake-v0,10,1.0,1.0,0.0,6.0
textgrad_rl,GuessTheNumber-v0,10,1.0,1.0,0.0,3.7
textgrad_rl,LightsOut-v0,10,1.0,1.0,0.0,7.0
textgrad_rl,Mastermind-v0,10,1.0,1.0,0.0,4.2
textgrad_rl,Nim-v0,20,1.0,1.0,0.0,11.5
textgrad_rl,ReverseTicTacToe-v0,20,0.0,0.0,0.0,9.0
textgrad_rl,TowerOfHanoi-v0,10,1.0,1.0,0.0,7.0
