accepted,average_reward,average_turns,episodes,gradient_count,invalid_move_rate,method,repetition,split,success_rate
False,0.18025880247193019,12.13076923076923,130,0,0.11538461538461539,fixed_prompt,0,test,0.2153846153846154
False,0.1688635404067372,12.107692307692307,65,0,0.1076923076923077,scalar_prompt_search,0,train,0.18461538461538463
False,0.1511551131810985,12.276923076923078,65,0,0.1076923076923077,scalar_prompt_search,0,val_old,0.16923076923076924
True,0.1511551131810985,12.276923076923078,65,0,0.1076923076923077,scalar_prompt_search,0,val_candidate,0.16923076923076924
True,0.18025880247193019,12.13076923076923,130,0,0.11538461538461539,scalar_prompt_search,0,test,0.2153846153846154
False,0.1688635404067372,12.107692307692307,65,0,0.1076923076923077,monolithic_textgrad,0,train,0.18461538461538463
False,0.1511551131810985,12.276923076923078,65,10,0.1076923076923077,monolithic_textgrad,0,val_old,0.16923076923076924
True,0.5683773354033208,10.923076923076923,65,10,0.0,monolithic_textgrad,0,val_candidate,0.6153846153846154
True,0.562406187250894,10.723076923076922,130,10,0.0,monolithic_textgrad,0,test,0.6153846153846154
False,0.1688635404067372,12.107692307692307,65,0,0.1076923076923077,modular_textgrad,0,train,0.18461538461538463
False,0.1511551131810985,12.276923076923078,65,10,0.1076923076923077,modular_textgrad,0,val_old,0.16923076923076924
True,0.5683773354033208,10.923076923076923,65,10,0.0,modular_textgrad,0,val_candidate,0.6153846153846154
True,0.562406187250894,10.723076923076922,130,10,0.0,modular_textgrad,0,test,0.6153846153846154
False,0.1688635404067372,12.107692307692307,65,0,0.1076923076923077,no_acceptance_gate,0,train,0.18461538461538463
True,0.562406187250894,10.723076923076922,130,10,0.0,no_acceptance_gate,0,test,0.6153846153846154
False,0.19631390922629882,12.061538461538461,130,0,0.1076923076923077,fixed_prompt,1,test,0.2
False,0.18962362069830013,12.092307692307692,65,0,0.1076923076923077,scalar_prompt_search,1,train,0.2
False,0.16492955505494816,11.907692307692308,65,0,0.1076923076923077,scalar_prompt_search,1,val_old,0.23076923076923078
True,0.16492955505494816,11.907692307692308,65,0,0.1076923076923077,scalar_prompt_search,1,val_candidate,0.23076923076923078
True,0.19631390922629882,12.061538461538461,130,0,0.1076923076923077,scalar_prompt_search,1,test,0.2
False,0.18962362069830013,12.092307692307692,65,0,0.1076923076923077,monolithic_textgrad,1,train,0.2
False,0.16492955505494816,11.907692307692308,65,10,0.1076923076923077,monolithic_textgrad,1,val_old,0.23076923076923078
True,0.5504851106105038,10.723076923076922,65,10,0.0,monolithic_textgrad,1,val_candidate,0.6153846153846154
True,0.5622438800651766,10.6,130,10,0.0,monolithic_textgrad,1,test,0.6153846153846154
False,0.18962362069830013,12.092307692307692,65,0,0.1076923076923077,modular_textgrad,1,train,0.2
False,0.16492955505494816,11.907692307692308,65,10,0.1076923076923077,modular_textgrad,1,val_old,0.23076923076923078
True,0.5504851106105038,10.723076923076922,65,10,0.0,modular_textgrad,1,val_candidate,0.6153846153846154
True,0.5622438800651766,10.6,130,10,0.0,modular_textgrad,1,test,0.6153846153846154
False,0.18962362069830013,12.092307692307692,65,0,0.1076923076923077,no_acceptance_gate,1,train,0.2
True,0.5622438800651766,10.6,130,10,0.0,no_acceptance_gate,1,test,0.6153846153846154
False,0.17867621991376748,12.0,130,0,0.09230769230769231,fixed_prompt,2,test,0.2
False,0.16950682973423245,12.169230769230769,65,0,0.1076923076923077,scalar_prompt_search,2,train,0.18461538461538463
False,0.1826383688171008,12.123076923076923,65,0,0.12307692307692308,scalar_prompt_search,2,val_old,0.18461538461538463
True,0.1826383688171008,12.123076923076923,65,0,0.12307692307692308,scalar_prompt_search,2,val_candidate,0.18461538461538463
True,0.17867621991376748,12.0,130,0,0.09230769230769231,scalar_prompt_search,2,test,0.2
False,0.16950682973423245,12.169230769230769,65,0,0.1076923076923077,monolithic_textgrad,2,train,0.18461538461538463
False,0.1826383688171008,12.123076923076923,65,10,0.12307692307692308,monolithic_textgrad,2,val_old,0.18461538461538463
True,0.5770658271252449,10.738461538461538,65,10,0.0,monolithic_textgrad,2,val_candidate,0.6153846153846154
True,0.5628811231976181,10.8,130,10,0.0,monolithic_textgrad,2,test,0.6153846153846154
False,0.16950682973423245,12.169230769230769,65,0,0.1076923076923077,modular_textgrad,2,train,0.18461538461538463
False,0.1826383688171008,12.123076923076923,65,10,0.12307692307692308,modular_textgrad,2,val_old,0.18461538461538463
True,0.5770658271252449,10.738461538461538,65,10,0.0,modular_textgrad,2,val_candidate,0.6153846153846154
True,0.5628811231976181,10.8,130,10,0.0,modular_textgrad,2,test,0.6153846153846154
False,0.16950682973423245,12.169230769230769,65,0,0.1076923076923077,no_acceptance_gate,2,train,0.18461538461538463
True,0.5628811231976181,10.8,130,10,0.0,no_acceptance_gate,2,test,0.6153846153846154
