accepted_count,average_reward,average_turns,candidate_count,episodes,invalid_move_rate,method,rejected_count,repetition,split,success_rate
0,0.18025880247193019,12.13076923076923,0,130,0.11538461538461539,fixed_prompt,0,0,test,0.2153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_policy_iteration,0,0,train,0.18461538461538463
6,0.5793292641739708,10.261538461538462,40,130,0.0,textgrad_policy_iteration,34,0,test,0.6153846153846154
0,0.1688635404067372,12.107692307692307,0,65,0.1076923076923077,textgrad_ppo,0,0,train,0.18461538461538463
5,0.5024061872508939,10.876923076923077,40,130,0.0,textgrad_ppo,35,0,test,0.5384615384615384
0,0.19631390922629882,12.061538461538461,0,130,0.1076923076923077,fixed_prompt,0,1,test,0.2
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_policy_iteration,0,1,train,0.2
6,0.5853208031420997,10.023076923076923,40,130,0.0,textgrad_policy_iteration,34,1,test,0.6153846153846154
0,0.18962362069830013,12.092307692307692,0,65,0.1076923076923077,textgrad_ppo,0,1,train,0.2
5,0.5083977262190227,10.638461538461538,40,130,0.0,textgrad_ppo,35,1,test,0.5384615384615384
0,0.17867621991376748,12.0,0,130,0.09230769230769231,fixed_prompt,0,2,test,0.2
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_policy_iteration,0,2,train,0.18461538461538463
6,0.5844195847360796,10.184615384615384,40,130,0.0,textgrad_policy_iteration,34,2,test,0.6153846153846154
0,0.16950682973423245,12.169230769230769,0,65,0.1076923076923077,textgrad_ppo,0,2,train,0.18461538461538463
5,0.5074965078130027,10.8,40,130,0.0,textgrad_ppo,35,2,test,0.5384615384615384
