average_reward,average_turns,env_id,episodes,invalid_move_rate,method,success_rate
0.1993018255593172,21.0,Bandit-v0,30,0.0,fixed_prompt,0.0
0.38,5.0,Blackjack-v0,30,0.0,fixed_prompt,0.0
0.0,19.0,ConnectFour-v0,60,0.0,fixed_prompt,0.5
0.4166666666666667,3.3666666666666667,FrozenLake-v0,30,0.43333333333333335,fixed_prompt,0.0
0.9192982456140351,7.7,GuessTheNumber-v0,30,0.0,fixed_prompt,0.6
-0.009188034188034187,20.0,LightsOut-v0,30,0.0,fixed_prompt,0.0
0.5,4.766666666666667,Mastermind-v0,30,0.9333333333333333,fixed_prompt,0.06666666666666667
0.0,12.0,Nim-v0,60,0.0,fixed_prompt,0.5
0.0,9.0,ReverseTicTacToe-v0,60,0.0,fixed_prompt,0.0
0.0,15.0,TowerOfHanoi-v0,30,0.0,fixed_prompt,0.0
0.1993018255593172,21.0,Bandit-v0,30,0.0,textgrad_policy_iteration,0.0
0.38,5.0,Blackjack-v0,30,0.0,textgrad_policy_iteration,0.0
0.0,19.0,ConnectFour-v0,60,0.0,textgrad_policy_iteration,0.5
1.0,6.0,FrozenLake-v0,30,0.0,textgrad_policy_iteration,1.0
1.0,3.9,GuessTheNumber-v0,30,0.0,textgrad_policy_iteration,1.0
1.0,6.066666666666666,LightsOut-v0,30,0.0,textgrad_policy_iteration,1.0
1.0,4.066666666666666,Mastermind-v0,30,0.0,textgrad_policy_iteration,1.0
1.0,11.5,Nim-v0,60,0.0,textgrad_policy_iteration,1.0
0.0,9.0,ReverseTicTacToe-v0,60,0.0,textgrad_policy_iteration,0.0
1.0,7.0,TowerOfHanoi-v0,30,0.0,textgrad_policy_iteration,1.0
0.1993018255593172,21.0,Bandit-v0,30,0.0,textgrad_ppo,0.0
0.38,5.0,Blackjack-v0,30,0.0,textgrad_ppo,0.0
0.0,19.0,ConnectFour-v0,60,0.0,textgrad_ppo,0.5
1.0,6.0,FrozenLake-v0,30,0.0,textgrad_ppo,1.0
1.0,3.9,GuessTheNumber-v0,30,0.0,textgrad_ppo,1.0
1.0,6.066666666666666,LightsOut-v0,30,0.0,textgrad_ppo,1.0
1.0,4.066666666666666,Mastermind-v0,30,0.0,textgrad_ppo,1.0
1.0,11.5,Nim-v0,60,0.0,textgrad_ppo,1.0
0.0,9.0,ReverseTicTacToe-v0,60,0.0,textgrad_ppo,0.0
0.0,15.0,TowerOfHanoi-v0,30,0.0,textgrad_ppo,0.0
