player0_agent,player1_agent,games,player0_wins,player1_wins,draws,player0_avg_reward,player1_avg_reward,average_turns
center_first,center_first,20,0,0,20,0.0,0.0,9.0
center_first,first_available,20,20,0,0,1.0,-1.0,5.0
center_first,optimal_minimax,20,0,20,0,-1.0,1.0,6.0
center_first,random_legal,20,18,2,0,0.8,-0.8,6.6
first_available,center_first,20,0,20,0,-1.0,1.0,6.0
first_available,first_available,20,20,0,0,1.0,-1.0,7.0
first_available,optimal_minimax,20,0,20,0,-1.0,1.0,6.0
first_available,random_legal,20,19,0,1,0.95,-0.95,6.0
optimal_minimax,center_first,20,20,0,0,1.0,-1.0,7.0
optimal_minimax,first_available,20,20,0,0,1.0,-1.0,5.0
optimal_minimax,optimal_minimax,20,0,0,20,0.0,0.0,9.0
optimal_minimax,random_legal,20,19,0,1,0.95,-0.95,6.5
random_legal,center_first,20,7,13,0,-0.3,0.3,7.45
random_legal,first_available,20,13,7,0,0.3,-0.3,7.35
random_legal,optimal_minimax,20,0,16,4,-0.8,0.8,7.3
random_legal,random_legal,20,10,6,4,0.2,-0.2,7.9
