benchmark,method,episodes,reward,reward_ci_low,reward_ci_high,success,success_ci_low,success_ci_high,invalid,invalid_ci_low,invalid_ci_high,repeated,repeated_ci_low,repeated_ci_high,truncated,truncated_ci_low,truncated_ci_high,turns,turns_ci_low,turns_ci_high
TextArena Broad 50,fixed_prompt,195,0.0938,0.0036,0.1831,0.1846,0.1333,0.241,0.5179,0.4462,0.5897,0.7487,0.6872,0.8103,0.0,0.0,0.0,9.3231,8.0513,10.6615
TextArena Broad 50,textgrad_policy_iteration,195,0.2611,0.1638,0.3545,0.3692,0.3026,0.441,0.4513,0.3795,0.5231,0.7179,0.6564,0.7795,0.0,0.0,0.0,8.5026,7.3692,9.7949
TextArena Difficulty Generalization,fixed_prompt,72,0.1902,0.0432,0.3363,0.1667,0.0833,0.2639,0.1389,0.0694,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,22.5972,18.5833,26.6667
TextArena Difficulty Generalization,textgrad_policy_iteration,72,0.8969,0.8361,0.9527,0.8333,0.7361,0.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9583,14.2639,19.7639
BrowserGym MiniWoB++ 50,fixed_prompt,150,0.2,0.14,0.26,0.2,0.14,0.26,0.02,0.0,0.0467,0.7133,0.64,0.78,0.0,0.0,0.0,4.0467,3.7933,4.3
BrowserGym MiniWoB++ 50,textgrad_policy_iteration,150,0.2733,0.2067,0.34,0.2733,0.2067,0.34,0.02,0.0,0.0467,0.64,0.5667,0.7133,0.0,0.0,0.0,3.86,3.5933,4.12
TextWorldExpress 8,fixed_prompt,24,-0.261,-0.5781,0.0556,0.1667,0.0417,0.3333,0.0,0.0,0.0,0.6667,0.4583,0.8333,0.0,0.0,0.0,37.125,23.5,51.7917
TextWorldExpress 8,textgrad_policy_iteration,24,0.7917,0.6354,0.9167,0.7083,0.5,0.875,0.0,0.0,0.0,0.5833,0.375,0.7917,0.0,0.0,0.0,28.1667,16.625,41.75
TextWorld 24,fixed_prompt,24,0.4835,0.3149,0.6502,0.2917,0.125,0.4583,0.0,0.0,0.0,0.75,0.5833,0.9167,0.0,0.0,0.0,47.0,32.3333,61.625
TextWorld 24,textgrad_policy_iteration,24,0.5833,0.3833,0.7792,0.5417,0.3333,0.75,0.0,0.0,0.0,0.7917,0.625,0.9583,0.0,0.0,0.0,44.2083,30.625,58.0
Local Transfer Protocol Probe,fixed_prompt,17,0.2833,0.1902,0.3667,0.0,0.0,0.0,0.7647,0.5294,0.9412,0.0588,0.0,0.1765,0.0,0.0,0.0,10.1176,8.9412,11.4706
Local Transfer Protocol Probe,textgrad_policy_iteration,17,0.9569,0.9059,1.0,0.8235,0.5882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2353,5.4706,7.1176
TextArena SLM Candidate Pool 30-Seed,fixed_prompt,360,0.0795,0.0125,0.1425,0.1583,0.1194,0.1972,0.4944,0.4417,0.5417,0.0,0.0,0.0,0.0694,0.0444,0.0972,8.075,7.0944,9.1806
TextArena SLM Candidate Pool 30-Seed,textgrad_rl_no_gate,360,0.0895,0.0229,0.1517,0.175,0.1389,0.2139,0.475,0.425,0.525,0.0,0.0,0.0,0.0694,0.0444,0.0972,7.975,6.9722,9.0389
TextArena SLM Candidate Pool 30-Seed,textgrad_rl_train_val,360,0.1384,0.0701,0.2006,0.1917,0.1528,0.2333,0.4889,0.4361,0.5361,0.0,0.0,0.0,0.0778,0.0528,0.1056,8.1194,7.1444,9.2194
TextArena SLM Fixed Temperature 0.0,fixed_prompt,360,-0.0135,-0.0834,0.0503,0.1306,0.0972,0.1667,0.5278,0.4778,0.5778,0.0,0.0,0.0,0.0556,0.0333,0.0806,7.7972,6.8278,8.9028
